boeId,motivo,timestamp
BOE-A-2025-9117,Sin PDF ni TXT disponible,2025-05-09T15:51:07.104782
BOE-A-2025-9114,Sin PDF ni TXT disponible,2025-05-09T15:51:07.276562
BOE-A-2025-9113,Sin PDF ni TXT disponible,2025-05-09T15:51:07.446036
BOE-A-2025-9112,Sin PDF ni TXT disponible,2025-05-09T15:51:07.666451
BOE-A-2025-9110,Sin PDF ni TXT disponible,2025-05-09T15:51:07.843030
BOE-A-2025-9109,Sin PDF ni TXT disponible,2025-05-09T15:51:08.015612
BOE-A-2025-9108,Sin PDF ni TXT disponible,2025-05-09T15:51:08.191429
BOE-A-2025-9107,Sin PDF ni TXT disponible,2025-05-09T15:51:08.349604
BOE-A-2025-9106,Sin PDF ni TXT disponible,2025-05-09T15:51:08.521933
BOE-A-2025-9105,Sin PDF ni TXT disponible,2025-05-09T15:51:08.707397
BOE-A-2025-9085,Sin PDF ni TXT disponible,2025-05-09T15:51:08.884925
BOE-A-2025-9084,Sin PDF ni TXT disponible,2025-05-09T15:51:09.061638
BOE-A-2025-9083,Sin PDF ni TXT disponible,2025-05-09T15:51:09.221963
BOE-A-2025-9082,Sin PDF ni TXT disponible,2025-05-09T15:51:09.387358
BOE-A-2025-9081,Sin PDF ni TXT disponible,2025-05-09T15:51:09.597847
BOE-A-2025-9080,Sin PDF ni TXT disponible,2025-05-09T15:51:09.802111
